;ARQ1000_grau;ARQ1001_grau;ARQ1002_grau;ARQ1101_grau;ARQ1102_grau;ARQ1103_grau;ART1020_grau;ART1027_grau;ART1028_grau;ART1029_grau;ART1030_grau;ART1210_grau;ART1420_grau;CIV1301_grau;CRE0700_grau;CRE1100_grau;CRE1141_grau;HIS1430_grau;HIS1850_grau;MAT1071_grau;MAT1072_grau;SOC1139_grau;id;semestre
0;0.8;-1.0;-1.0;0.76;-1.0;-1.0;0.85;-1.0;0.7;-1.0;-1.0;-1.0;0.96;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;aluno0;1
1;-1.0;0.8699999999999999;-1.0;-1.0;0.78;-1.0;-1.0;0.0;-1.0;0.5700000000000001;-1.0;0.8099999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno0;2
2;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;0.76;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.0;1.0;aluno0;3
3;0.8800000000000001;-1.0;-1.0;0.93;-1.0;-1.0;0.95;-1.0;0.5900000000000001;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.99;-1.0;-1.0;aluno1;1
4;-1.0;0.77;-1.0;-1.0;0.75;-1.0;-1.0;0.86;-1.0;0.82;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno1;2
5;-1.0;-1.0;0.95;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;0.85;-1.0;-1.0;0.97;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.9400000000000001;-1.0;aluno1;3
6;0.7;-1.0;-1.0;0.71;-1.0;-1.0;0.89;-1.0;0.75;-1.0;-1.0;-1.0;0.65;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;aluno100;1
7;-1.0;0.58;-1.0;-1.0;0.64;-1.0;-1.0;0.8800000000000001;-1.0;0.54;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno100;2
8;-1.0;-1.0;0.55;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;-1.0;-1.0;0.61;-1.0;-1.0;0.89;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.51;0.78;aluno100;3
9;0.8800000000000001;-1.0;-1.0;0.75;-1.0;-1.0;0.93;-1.0;0.79;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.79;-1.0;-1.0;aluno102;1
